,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
1918,,букетище,выворотка,,дымосос,,,,,,,колчаковщина,,молочность,непритворность,осложнение,перешнуровывание,робость,ситовник,тюбетей,,,,,,,,,,,,,
1919,,буки,выворотность,,дымоуловитель,,,,,,,колчан,,молчаливость,непритязательность,ослушание,перешныривание,робот,ситро,тюбетейка,,,,,,,,,,,,,
1920,,букинист,вывязка,,дымоход,,,,,,,колчедан,,молчалин,неприхотливость,ослушивание,перешпиговывание,роброн,ситуация,тюбик,,,,,,,,,,,,,
1921,,букле,вывязывание,,дымочек,,,,,,,колыбель,,молчалинство,непричастность,ослушник,перешпиливание,ров,ситце,тюбинг,,,,,,,,,,,,,
1922,,буклет,вывяливание,,дымчатость,,,,,,,колыбелька,,молчальник,неприютность,ослушница,перештемпелёвывание,ровесник,ситцепечатание,тюбингоукладчик,,,,,,,,,,,,,
1923,,букля,выгадывание,,дынька,,,,,,,колыбельная,,молчальница,неприязненность,ослышка,перештопывание,ровесница,ситцепечатник,тюбингщик,,,,,,,,,,,,,
1924,,букмекер,выгар,,дыня,,,,,,,колымага,,молчальничество,неприязнь,осляк,перештукатуривание,ровик,ситчик,тюк,,,,,,,,,,,,,
1925,,буковка,выгарь,,дыра,,,,,,,колымажка,,молчание,неприятель,ослятина,перешучивание,ровнитель,сифилидолог,тюкание,,,,,,,,,,,,,
1926,,буколика,выгачивание,,дырища,,,,,,,колыхание,,молчанка,неприятельница,ослятник,перещёлк,ровница,сифилидология,тюкование,,,,,,,,,,,,,
1927,,буколька,выгиб,,дырка,,,,,,,колышек,,молчок,неприятие,осмаливание,перещёлкивание,ровничница,сифилиды,тюковка,,,,,,,,,,,,,
1928,,букс,выгибание,,дырокол,,,,,,,колышень,,молчун,неприятность,осман,перещипка,ровность,сифилис,тюковщик,,,,,,,,,,,,,
1929,,букса,выгибка,,дырочка,,,,,,,кольдкрем,,молчунья,непробиваемость,османка,перещипывание,ровнота,сифилитик,тюленебоец,,,,,,,,,,,,,
1930,,буксир,выглаживание,,дых,,,,,,,колье,,моль,непробудность,осматривание,перещупывание,ровнюшка,сифилитичка,тюленёнок,,,,,,,,,,,,,
1931,,буксирование,выглядывание,,дыхальце,,,,,,,кольматаж,,мольба,непроводимость,осмеивание,переэкзаменовка,ровня,сифилома,тюленина,,,,,,,,,,,,,
1932,,буксировка,выгнетание,,дыхание,,,,,,,кольраби,,мольберт,непродолжительность,осмёток,переязок,рог,сифон,тюленка,,,,,,,,,,,,,
1933,,буксировщик,выгнивание,,дышло,,,,,,,кольт,,мольбище,непродуктивность,осмеяние,переярка,рогалик,сифонофора,тюлень,,,,,,,,,,,,,
